name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,icon
Kepler-577 b,1710.0,15.155,Neptune-like,2016,7.04,Earth,0.227,Jupiter,0.1348,0.07036277,0.0,Transit,np
Kepler-578 b,1766.0,14.578,Super Earth,2016,4.66,Earth,2.0,Earth,0.0266,0.0043805614,0.0,Transit,sat
Kepler-579 b,1731.0,14.552,Super Earth,2016,4.66,Earth,2.0,Earth,0.0854,0.026557151,0.0,Transit,sat
Kepler-57 c,2101.0,15.017,Super Earth,2012,9.1,Earth,1.55,Earth,0.096,0.03175907,0.0,Transit,sat
Kepler-580 b,1057.0,15.308,Neptune-like,2016,7.13,Earth,0.229,Jupiter,0.0683,0.022450376,0.0,Transit,np
Kepler-581 b,2296.0,14.701,Neptune-like,2016,7.41,Earth,0.235,Jupiter,0.2259,0.11115674,0.0,Transit,np
Kepler-582 b,2000.0,15.097,Neptune-like,2016,13.1,Earth,0.328,Jupiter,0.1254,0.05065024,0.0,Transit,np
Kepler-583 b,2829.0,14.883,Neptune-like,2016,5.82,Earth,0.203,Jupiter,0.0689,0.01779603,0.0,Transit,np
Kepler-584 b,6031.0,14.973,Neptune-like,2016,16.5,Earth,0.376,Jupiter,0.2281,0.09637235,0.0,Transit,np
Kepler-585 b,1909.0,14.188,Neptune-like,2016,8.4,Earth,0.252,Jupiter,0.0375,0.007665982,0.0,Transit,np
Kepler-586 b,2263.0,14.435,Neptune-like,2016,8.2,Earth,0.249,Jupiter,0.0331,0.0057494864,0.0,Transit,np
Kepler-587 b,2570.0,15.011,Neptune-like,2016,5.6,Earth,2.23,Earth,0.0952,0.029842572,0.0,Transit,np
Kepler-588 b,3945.0,14.8,Neptune-like,2016,7.41,Earth,0.235,Jupiter,0.052,0.011498973,0.0,Transit,np
Kepler-58 d,3162.0,15.086,Neptune-like,2014,8.96,Earth,0.262,Jupiter,0.236,0.109787814,0.0,Transit,np
Kepler-590 b,4638.0,14.554,Neptune-like,2016,15.2,Earth,0.359,Jupiter,0.0647,0.01615332,0.0,Transit,np
Kepler-591 b,2561.0,14.628,Neptune-like,2016,11.4,Earth,0.302,Jupiter,0.3554,0.22231348,0.0,Transit,np
Kepler-592 b,3762.0,14.846,Neptune-like,2016,6.3,Earth,0.213,Jupiter,0.0397,0.007665982,0.0,Transit,np
Kepler-593 b,3176.0,14.622,Neptune-like,2016,8.6,Earth,0.256,Jupiter,0.1508,0.05804244,0.0,Transit,np
Kepler-594 b,2509.0,14.906,Neptune-like,2016,5.39,Earth,2.18,Earth,0.1089,0.037234772,0.0,Transit,np
Kepler-595 c,2097.0,15.067,Super Earth,2020,3.3,Earth,1.009,Earth,0.0983,0.03394935,0.0,Transit,sat
Kepler-597 b,2164.0,14.12,Neptune-like,2016,6.21,Earth,0.211,Jupiter,0.1056,0.03559206,0.0,Transit,np
Kepler-598 c,2222.0,14.829,Neptune-like,2020,9.4,Earth,0.27,Jupiter,0.3576,0.2368241,0.0,Transit,np
Kepler-599 b,1822.0,15.067,Neptune-like,2016,8.45,Earth,0.253,Jupiter,0.1128,0.04298426,0.0,Transit,np
Kepler-59 c,3794.0,14.467,Super Earth,2012,4.58,Earth,1.98,Earth,0.1372,0.049281314,0.0,Transit,sat
Kepler-5 b,2935.0,13.325,Gas Giant,2009,2.111,Jupiter,1.426,Jupiter,0.0538,0.009582478,0.0,Transit,jupi
Kepler-600 b,2022.0,14.846,Neptune-like,2016,8.75,Earth,0.259,Jupiter,0.1536,0.06488707,0.0,Transit,np
Kepler-601 b,1353.0,14.151,Super Earth,2016,4.27,Earth,1.9,Earth,0.056,0.014784395,0.0,Transit,sat
Kepler-602 b,3782.0,14.72,Super Earth,2016,5.02,Earth,2.09,Earth,0.1224,0.041889116,0.0,Transit,sat
Kepler-603 d,5022.0,14.969,Super Earth,2016,2.3,Earth,1.32,Earth,0.0666,0.016974675,0.0,Transit,sat
Kepler-604 b,3348.0,14.791,Neptune-like,2016,7.22,Earth,0.231,Jupiter,0.1735,0.070910335,0.0,Transit,np
Kepler-605 c,1816.0,14.376,Terrestrial,2016,0.566,Earth,0.86,Earth,0.033,0.006570842,0.0,Transit,mars
Kepler-606 b,3964.0,14.895,Neptune-like,2016,11.0,Earth,0.295,Jupiter,0.17,0.06652977,0.0,Transit,np
Kepler-608 b,3088.0,14.84,Neptune-like,2016,12.9,Earth,0.325,Jupiter,0.0685,0.017522246,0.0,Transit,np
Kepler-609 b,3477.0,14.96,Neptune-like,2016,11.2,Earth,0.299,Jupiter,0.0682,0.01779603,0.0,Transit,np
Kepler-610 c,2759.0,14.816,Neptune-like,2016,10.9,Earth,0.294,Jupiter,0.5594,0.41587952,0.0,Transit,np
Kepler-611 b,4552.0,14.734,Super Earth,2016,3.36,Earth,1.65,Earth,0.0351,0.006570842,0.0,Transit,sat
Kepler-612 b,4715.0,15.191,Neptune-like,2016,8.45,Earth,0.253,Jupiter,0.0452,0.010130048,0.0,Transit,np
Kepler-613 b,2810.0,14.795,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.1232,0.04325804,0.0,Transit,np
Kepler-615 b,1076.0,14.623,Super Earth,2016,3.68,Earth,1.74,Earth,0.085,0.028473647,0.0,Transit,sat
Kepler-616 d,3085.0,15.021,Neptune-like,2021,7.52,Earth,0.237,Jupiter,0.2749,0.13990417,0.0,Transit,np
Kepler-617 b,565.0,15.549,Super Earth,2016,2.3,Earth,1.32,Earth,0.0219,0.0046543465,0.0,Transit,sat
Kepler-618 b,3986.0,15.087,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.046,0.009856262,0.0,Transit,np
Kepler-619 c,2938.0,14.84,Super Earth,2016,3.5,Earth,1.69,Earth,0.0225,0.003285421,0.0,Transit,sat
Kepler-620 b,4421.0,14.844,Neptune-like,2016,11.0,Earth,0.296,Jupiter,0.1053,0.035318274,0.0,Transit,np
Kepler-621 b,1269.0,15.22,Neptune-like,2016,5.9,Earth,0.205,Jupiter,0.031,0.007118412,0.0,Transit,np
Kepler-623 b,2406.0,15.028,Neptune-like,2016,9.32,Earth,0.269,Jupiter,0.0854,0.024914443,0.0,Transit,np
Kepler-624 b,2441.0,13.637,Neptune-like,2016,5.95,Earth,0.206,Jupiter,0.1172,0.039972622,0.0,Transit,np
Kepler-626 b,2073.0,14.086,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.115,0.039698835,0.0,Transit,np
